Sterbejahr	Sterbewoche	Todesfälle
2020	10	2
2020	11	18
2020	12	162
2020	13	601
2020	14	1371
2020	15	1746
2020	16	1596
2020	17	1175
2020	18	796
2020	19	517
2020	20	353
2020	21	274
2020	22	150
2020	23	117
2020	24	74
2020	25	53
2020	26	58
2020	27	45
2020	28	28
2020	29	26
2020	30	32
2020	31	31
2020	32	30
2020	33	31
2020	34	41
2020	35	39
2020	36	19
2020	37	33
2020	38	54
2020	39	68
2020	40	82
2020	41	123
2020	42	240
2020	43	412
2020	44	794
2020	45	1260
2020	46	1665
2020	47	2141
2020	48	2932
2020	49	3464
2020	50	4360
2020	51	5298
2020	52	5897
2020	53	5886
2021	1	5579
2021	2	5076
2021	3	4825
2021	4	4118
2021	5	3354
2021	6	2698
2021	7	2040
2021	8	1713
2021	9	1362
2021	10	1240
2021	11	1122
2021	12	1188
2021	13	1385
2021	14	1518
2021	15	1524
2021	16	1596
2021	17	1590
2021	18	1430
2021	19	1148
2021	20	938
2021	21	691
2021	22	471
2021	23	290
2021	24	234
2021	25	139
2021	26	97
2021	27	62
2021	28	58
2021	29	72
2021	30	39
2021	31	58
2021	32	78
2021	33	128
2021	34	162
2021	35	271
2021	36	331
2021	37	429
2021	38	406
2021	39	388
2021	40	402
2021	41	465
2021	42	599
2021	43	867
2021	44	1200
2021	45	1583
2021	46	2012
2021	47	2486
2021	48	2817
2021	49	2654
2021	50	2480
2021	51	2038
2021	52	1574

