Sterbejahr	Sterbewoche	Todesfälle
2022	1	1261
2022	2	971
2022	3	906
2022	4	940
2022	5	1153
2022	6	1361
2022	7	1571
2022	8	1600
2022	9	1631
2022	10	1575
2022	11	1730
2022	12	1884
2022	13	1765
2022	14	1483
2022	15	1325
2022	16	1074
2022	17	876
2022	18	763
2022	19	633
2022	20	447
2022	21	360
2022	22	289
2022	23	302
2022	24	327
2022	25	431
2022	26	516
2022	27	589
2022	28	742
2022	29	979
2022	30	1026
2022	31	938
2022	32	766
2022	33	727
2022	34	497
2022	35	462
2022	36	351
2022	37	388
2022	38	398
2022	39	568
2022	40	937
2022	41	1275
2022	42	1349
2022	43	1238
2022	44	1005
2022	45	818
2022	46	677
2022	47	649
2022	48	720
2022	49	875
2022	50	974
2022	51	1218
2022	52	1172
