,Year,Week,Total
0,2013,1,18243
1,2013,2,17933
2,2013,3,18251
3,2013,4,18861
4,2013,5,19980
5,2013,6,20026
6,2013,7,20373
7,2013,8,20776
8,2013,9,21250
9,2013,10,21172
10,2013,11,20197
11,2013,12,19789
12,2013,13,19320
13,2013,14,19293
14,2013,15,19390
15,2013,16,18064
16,2013,17,17101
17,2013,18,16408
18,2013,19,16370
19,2013,20,16083
20,2013,21,15601
21,2013,22,16351
22,2013,23,16198
23,2013,24,15888
24,2013,25,17153
25,2013,26,14870
26,2013,27,15614
27,2013,28,15238
28,2013,29,15856
29,2013,30,16853
30,2013,31,16077
31,2013,32,15263
32,2013,33,15226
33,2013,34,15182
34,2013,35,15176
35,2013,36,15631
36,2013,37,14680
37,2013,38,15312
38,2013,39,15719
39,2013,40,15894
40,2013,41,15939
41,2013,42,16238
42,2013,43,16754
43,2013,44,15950
44,2013,45,16227
45,2013,46,16185
46,2013,47,16720
47,2013,48,16527
48,2013,49,17198
49,2013,50,17036
50,2013,51,17306
51,2013,52,17080
52,2014,1,16785
53,2014,2,17210
54,2014,3,16814
55,2014,4,16825
56,2014,5,17366
57,2014,6,17534
58,2014,7,17422
59,2014,8,17211
60,2014,9,17345
61,2014,10,17449
62,2014,11,17491
63,2014,12,17579
64,2014,13,17418
65,2014,14,17541
66,2014,15,16746
67,2014,16,16540
68,2014,17,16550
69,2014,18,15803
70,2014,19,16074
71,2014,20,15763
72,2014,21,16453
73,2014,22,15211
74,2014,23,16215
75,2014,24,16176
76,2014,25,15268
77,2014,26,15583
78,2014,27,16029
79,2014,28,15845
80,2014,29,16631
81,2014,30,16370
82,2014,31,15793
83,2014,32,15435
84,2014,33,15011
85,2014,34,15526
86,2014,35,15938
87,2014,36,16260
88,2014,37,15840
89,2014,38,16075
90,2014,39,15692
91,2014,40,16115
92,2014,41,16412
93,2014,42,16424
94,2014,43,16415
95,2014,44,16750
96,2014,45,17013
97,2014,46,17288
98,2014,47,17062
99,2014,48,17499
100,2014,49,17964
101,2014,50,18635
102,2014,51,18378
103,2014,52,18139
104,2015,1,18713
105,2015,2,19283
106,2015,3,19500
107,2015,4,19346
108,2015,5,20716
109,2015,6,20905
110,2015,7,22395
111,2015,8,23264
112,2015,9,23598
113,2015,10,22002
114,2015,11,20770
115,2015,12,20009
116,2015,13,19106
117,2015,14,18668
118,2015,15,18089
119,2015,16,18116
120,2015,17,17668
121,2015,18,17114
122,2015,19,17072
123,2015,20,16732
124,2015,21,16330
125,2015,22,16200
126,2015,23,16777
127,2015,24,16272
128,2015,25,15619
129,2015,26,16152
130,2015,27,19252
131,2015,28,17361
132,2015,29,16447
133,2015,30,16272
134,2015,31,15432
135,2015,32,16651
136,2015,33,16881
137,2015,34,15233
138,2015,35,16117
139,2015,36,15654
140,2015,37,15952
141,2015,38,16034
142,2015,39,15667
143,2015,40,16429
144,2015,41,16776
145,2015,42,16848
146,2015,43,17341
147,2015,44,16795
148,2015,45,17024
149,2015,46,16618
150,2015,47,16849
151,2015,48,16802
152,2015,49,17009
153,2015,50,17054
154,2015,51,17408
155,2015,52,17176
156,2015,53,17210
157,2016,1,18467
158,2016,2,18439
159,2016,3,18627
160,2016,4,18707
161,2016,5,18493
162,2016,6,18541
163,2016,7,18483
164,2016,8,18475
165,2016,9,18926
166,2016,10,18888
167,2016,11,18971
168,2016,12,18826
169,2016,13,18617
170,2016,14,18244
171,2016,15,17712
172,2016,16,16775
173,2016,17,17053
174,2016,18,16901
175,2016,19,17629
176,2016,20,16601
177,2016,21,16286
178,2016,22,16346
179,2016,23,15799
180,2016,24,15717
181,2016,25,16910
182,2016,26,15699
183,2016,27,16229
184,2016,28,16172
185,2016,29,16985
186,2016,30,16157
187,2016,31,15439
188,2016,32,15487
189,2016,33,16258
190,2016,34,17147
191,2016,35,16101
192,2016,36,16116
193,2016,37,16372
194,2016,38,15606
195,2016,39,16336
196,2016,40,16352
197,2016,41,17427
198,2016,42,17599
199,2016,43,17586
200,2016,44,17580
201,2016,45,17782
202,2016,46,18591
203,2016,47,17911
204,2016,48,18146
205,2016,49,18793
206,2016,50,18885
207,2016,51,19376
208,2016,52,19744
209,2017,1,20918
210,2017,2,22070
211,2017,3,21236
212,2017,4,22083
213,2017,5,23640
214,2017,6,22744
215,2017,7,22683
216,2017,8,22266
217,2017,9,20930
218,2017,10,19102
219,2017,11,18665
220,2017,12,17640
221,2017,13,17731
222,2017,14,17028
223,2017,15,16901
224,2017,16,16637
225,2017,17,17634
226,2017,18,17129
227,2017,19,17343
228,2017,20,17079
229,2017,21,16451
230,2017,22,16902
231,2017,23,15846
232,2017,24,16087
233,2017,25,16819
234,2017,26,16076
235,2017,27,16424
236,2017,28,15603
237,2017,29,16589
238,2017,30,16058
239,2017,31,16494
240,2017,32,15784
241,2017,33,16148
242,2017,34,15880
243,2017,35,16064
244,2017,36,15706
245,2017,37,16146
246,2017,38,16505
247,2017,39,16747
248,2017,40,16664
249,2017,41,17470
250,2017,42,17139
251,2017,43,17059
252,2017,44,16762
253,2017,45,17371
254,2017,46,17594
255,2017,47,17676
256,2017,48,17877
257,2017,49,18295
258,2017,50,18504
259,2017,51,18500
260,2017,52,18652
261,2018,1,19342
262,2018,2,18770
263,2018,3,19187
264,2018,4,19171
265,2018,5,19558
266,2018,6,20086
267,2018,7,21254
268,2018,8,22888
269,2018,9,25535
270,2018,10,26777
271,2018,11,24385
272,2018,12,22777
273,2018,13,20906
274,2018,14,20038
275,2018,15,19165
276,2018,16,17992
277,2018,17,17093
278,2018,18,16789
279,2018,19,17226
280,2018,20,16488
281,2018,21,16513
282,2018,22,17039
283,2018,23,16714
284,2018,24,15582
285,2018,25,15843
286,2018,26,16569
287,2018,27,16622
288,2018,28,16070
289,2018,29,16702
290,2018,30,18340
291,2018,31,20371
292,2018,32,18478
293,2018,33,16890
294,2018,34,16612
295,2018,35,16000
296,2018,36,16390
297,2018,37,16292
298,2018,38,16651
299,2018,39,15969
300,2018,40,16622
301,2018,41,16993
302,2018,42,16552
303,2018,43,16608
304,2018,44,16895
305,2018,45,17604
306,2018,46,16842
307,2018,47,17785
308,2018,48,18091
309,2018,49,18342
310,2018,50,17943
311,2018,51,18990
312,2018,52,17954
313,2019,1,18686
314,2019,2,19170
315,2019,3,19163
316,2019,4,19505
317,2019,5,19812
318,2019,6,19981
319,2019,7,20150
320,2019,8,20349
321,2019,9,20790
322,2019,10,20453
323,2019,11,19795
324,2019,12,19016
325,2019,13,18562
326,2019,14,18671
327,2019,15,17852
328,2019,16,18089
329,2019,17,17894
330,2019,18,17090
331,2019,19,17118
332,2019,20,17315
333,2019,21,17080
334,2019,22,16921
335,2019,23,17491
336,2019,24,16484
337,2019,25,16639
338,2019,26,17918
339,2019,27,16552
340,2019,28,16319
341,2019,29,16856
342,2019,30,19630
343,2019,31,17034
344,2019,32,16540
345,2019,33,15934
346,2019,34,16263
347,2019,35,17637
348,2019,36,15988
349,2019,37,16303
350,2019,38,16500
351,2019,39,17402
352,2019,40,16899
353,2019,41,17666
354,2019,42,17713
355,2019,43,17327
356,2019,44,17488
357,2019,45,17859
358,2019,46,18242
359,2019,47,18535
360,2019,48,18581
361,2019,49,19143
362,2019,50,19101
363,2019,51,19062
364,2019,52,18204
365,2020,1,18883
366,2020,2,19408
367,2020,3,18953
368,2020,4,18827
369,2020,5,19774
370,2020,6,19038
371,2020,7,19648
372,2020,8,18953
373,2020,9,19505
374,2020,10,19667
375,2020,11,19849
376,2020,12,19722
377,2020,13,19678
378,2020,14,20662
379,2020,15,20502
380,2020,16,19261
381,2020,17,18557
382,2020,18,17920
383,2020,19,17651
384,2020,20,17001
385,2020,21,17163
386,2020,22,16776
387,2020,23,17262
388,2020,24,16601
389,2020,25,16401
390,2020,26,17293
391,2020,27,16457
392,2020,28,16142
393,2020,29,16537
394,2020,30,16887
395,2020,31,17433
396,2020,32,17470
397,2020,33,19720
398,2020,34,17559
399,2020,35,16656
400,2020,36,16789
401,2020,37,17155
402,2020,38,17555
403,2020,39,17446
404,2020,40,17614
405,2020,41,17501
406,2020,42,17754
407,2020,43,18588
408,2020,44,18584
409,2020,45,19007
410,2020,46,19727
411,2020,47,20182
412,2020,48,21304
413,2020,49,22604
414,2020,50,24003
415,2020,51,24724
416,2020,52,25554
417,2020,53,25541
418,2021,1,24919
419,2021,2,24532
420,2021,3,24129
421,2021,4,22674
422,2021,5,21773
423,2021,6,20946
424,2021,7,20493
425,2021,8,18979
426,2021,9,18455
427,2021,10,18606
428,2021,11,18374
429,2021,12,18437
430,2021,13,18520
431,2021,14,18873
432,2021,15,19098
433,2021,16,19282
434,2021,17,19555
435,2021,18,19329
436,2021,19,18579
437,2021,20,17811
438,2021,21,17193
439,2021,22,18191
440,2021,23,17442
441,2021,24,19076
442,2021,25,17191
443,2021,26,17013
444,2021,27,16994
445,2021,28,17662
446,2021,29,17613
447,2021,30,17211
448,2021,31,17021
449,2021,32,17560
450,2021,33,17501
451,2021,34,17151
452,2021,35,17341
453,2021,36,18879
454,2021,37,18057
455,2021,38,18157
456,2021,39,18129
457,2021,40,18209
458,2021,41,18949
459,2021,42,19761
460,2021,43,20387
461,2021,44,20426
462,2021,45,21071
463,2021,46,22344
