,datum,n,anteil_bev,viruslast,loess_vorhersage,loess_obere_schranke,loess_untere_schranke,normalisierung,typ,Jahr,Woche
150,2022-06-01,25,0.1125652680522119,135808.49,134815.75,175856.05,103353.2,ja,SARS-CoV-2,2022,22
151,2022-06-08,30,0.1442230865062223,193402.3,185936.86,223907.39,154405.42,ja,SARS-CoV-2,2022,23
152,2022-06-15,29,0.1336408529538307,221703.22,239556.01,276592.68,207478.68,ja,SARS-CoV-2,2022,24
153,2022-06-22,31,0.1442859133502835,301004.8,288151.35,329978.06,251626.43,ja,SARS-CoV-2,2022,25
154,2022-06-29,29,0.1368231511467469,316332.96,323553.76,373321.53,280420.57,ja,SARS-CoV-2,2022,26
155,2022-07-06,30,0.1438763534517335,337601.51,339186.19,394435.23,291675.96,ja,SARS-CoV-2,2022,27
156,2022-07-13,31,0.1442859133502835,328408.63,331992.03,387774.18,284234.26,ja,SARS-CoV-2,2022,28
157,2022-07-20,31,0.1442859133502835,358701.79,302147.31,355709.08,256650.73,ja,SARS-CoV-2,2022,29
158,2022-07-27,31,0.1442859133502835,268962.36,247471.68,291235.96,210283.89,ja,SARS-CoV-2,2022,30
159,2022-08-03,31,0.1442859133502835,186865.72,193842.04,228589.76,164376.29,ja,SARS-CoV-2,2022,31
160,2022-08-10,29,0.1417232182351477,132695.67,149826.11,176938.44,126868.2,ja,SARS-CoV-2,2022,32
161,2022-08-17,30,0.1431005011981849,112324.33,117542.84,138704.93,99609.43,ja,SARS-CoV-2,2022,33
162,2022-08-24,31,0.1447075288904204,104272.71,99637.69,117406.98,84557.74,ja,SARS-CoV-2,2022,34
163,2022-08-31,32,0.1447703557344816,99165.39,96728.42,113742.43,82259.43,ja,SARS-CoV-2,2022,35
164,2022-09-07,32,0.1447703557344816,95676.14,105519.95,124102.67,89719.75,ja,SARS-CoV-2,2022,36
165,2022-09-14,31,0.1433930727714444,100957.06,124923.8,147113.7,106080.91,ja,SARS-CoV-2,2022,37
166,2022-09-21,32,0.1447703557344816,163538.93,157318.44,185672.01,133294.68,ja,SARS-CoV-2,2022,38
167,2022-09-28,32,0.1447703557344816,273279.03,204426.15,241461.95,173070.97,ja,SARS-CoV-2,2022,39
168,2022-10-05,46,0.1578571636441916,202077.23,248975.5,293708.52,211055.51,ja,SARS-CoV-2,2022,40
169,2022-10-12,46,0.1578571636441916,301995.91,267325.44,315222.88,226705.91,ja,SARS-CoV-2,2022,41
170,2022-10-19,47,0.1589110661721364,303198.51,251108.81,295669.7,213263.78,ja,SARS-CoV-2,2022,42
171,2022-10-26,48,0.1618745965523828,237259.87,213972.59,251507.28,182039.54,ja,SARS-CoV-2,2022,43
172,2022-11-02,49,0.1695797755410235,133466.09,179111.65,210131.73,152670.82,ja,SARS-CoV-2,2022,44
173,2022-11-09,57,0.1742494222152994,149362.13,157625.94,184458.63,134696.52,ja,SARS-CoV-2,2022,45
174,2022-11-16,57,0.1747911555688084,140963.15,151288.0,176417.63,129737.93,ja,SARS-CoV-2,2022,46
175,2022-11-23,57,0.1748267179333714,150268.29,162406.61,188706.63,139772.03,ja,SARS-CoV-2,2022,47
176,2022-11-30,56,0.1741942531337407,187351.81,193700.39,224750.2,166940.19,ja,SARS-CoV-2,2022,48
177,2022-12-07,57,0.1764191057855284,238433.33,238339.76,276681.95,205310.98,ja,SARS-CoV-2,2022,49
178,2022-12-14,57,0.1616909050852936,265219.73,269019.74,312309.41,231730.52,ja,SARS-CoV-2,2022,50
179,2022-12-21,54,0.179643391276872,311883.54,261669.51,303820.48,225366.42,ja,SARS-CoV-2,2022,51
180,2022-12-28,36,0.1257856482032204,335902.99,223458.42,260148.41,191943.0,ja,SARS-CoV-2,2022,52
