	Woche	Tote	xd	xd_smooth
44	1	5605	4638	4580
45	2	5093	3832	4078
46	3	4838	3514	3143
47	4	4136	1788	1962
48	5	3372	620	936
49	6	2710	-243	-339
50	7	2049	-1201	-1782
51	8	1725	-3388	-3307
52	9	1366	-4943	-4413
53	10	1242	-4657	-4540
54	11	1128	-3536	-3588
55	12	1195	-1958	-2217
56	13	1386	-882	-847
57	14	1525	109	274
58	15	1530	1290	1025
59	16	1597	1555	1655
60	17	1596	1657	1784
61	18	1436	1861	1443
62	19	1151	742	869
63	20	937	249	463
64	21	694	-30	-54
65	22	472	683	626
66	23	291	303	1324
67	24	232	2972	1219
68	25	139	725	658
69	26	99	-1082	406
70	27	64	110	157
71	28	59	1229	242
72	29	71	445	-219
73	30	41	-2039	-1044
74	31	59	-1979	-1311
75	32	78	-290	-817
76	33	128	531	-241
77	34	163	90	571
78	35	272	-137	888
79	36	334	2668	1206
80	37	430	1050	1413
81	38	411	1133	1352
82	39	388	716	671
83	40	402	1022	805
84	41	467	737	1269
85	42	605	1942	1935
86	43	871	3048	2350
87	44	1204	2667	2863
88	45	1590	2655	3156
89	46	2014	3889	3688
90	47	2494	4389	4429
91	48	2827	5035	4802
92	49	2672	4519	4342
93	50	2487	3725	3608
94	51	2048	2693	3059
95	52	1575	3238	3087
