	Woche	Tote	viruslast	xd	xd_smooth
0	1	1261		280	177
1	2	971		-1122	-867
2	3	906		-1098	-1198
3	4	940		-995	-1090
4	5	1153		-697	-727
5	6	1361		-937	-817
6	7	1571		-789	-1392
7	8	1600		-2316	-2199
8	9	1631		-3027	-2601
9	10	1575		-2497	-2257
10	11	1730		-927	-1061
11	12	1884		636	336
12	13	1765		1361	1534
13	14	1483		2136	2118
14	15	1325		2480	2122
15	16	1074		1798	1977
16	17	876		1341	1675
17	18	763		1613	1430
18	19	633		1256	1072
19	20	447		807	675
20	21	360		-158	182
21	22	289	142463.2418485464	379	366
22	23	302	211887.2690947187	680	1274
23	24	327	225206.9277695169	2378	1682
24	25	431	313277.4062402685	2564	1551
25	26	516	327656.6863893906	72	1390
26	27	589	336766.8286352048	1229	1759
27	28	742	357573.05905030546	2517	2054
28	29	979	360533.6450291498	3702	2212
29	30	1026	260479.56502794853	616	1622
30	31	938	187434.433800046	504	1340
31	32	766	132965.3150011147	1658	1419
32	33	727	109586.2642656476	2778	1742
33	34	497	102141.77564029476	1715	1970
34	35	462	96106.21350761333	549	1600
35	36	351	102013.68712733546	2517	1289
36	37	388	98277.36194415236	1056	1612
37	38	398	160196.7873562429	1911	2185
38	39	568	268519.50167080003	2751	2425
39	40	937	192142.72541705487	3288	3166
40	41	1275	311381.7224210133	3327	3739
41	42	1349	292661.1708806654	3823	3727
42	43	1238	235660.0454138914	4045	3190
43	44	1005	135068.0265514799	2000	2581
44	45	818	155950.1816756378	1542	1971
45	46	677	145801.32232493284	2147	1702
46	47	649	160319.95674138085	2291	2216
47	48	720	192650.39406130844	2822	3095
48	49	875	260158.32091597427	4330	4673
49	50	974	278847.41669818066	6469	6636
50	51	1218	320274.2280538625	8625	8100
51	52	1172	346040.5220771688	8195	8407
