	Woche	Todesfaelle_neu	viruslast	xd	xd_smooth
0	1	1223	183096.913579729	4565	4516
1	2	1087	101788.83611423476	1326	1458
2	3	928	88823.69167008997	-19	-142
3	4	738	114892.8813683209	-897	-754
4	5	687	178316.88685904033	-555	-866
5	6	635	176570.80457733167	-1128	-1004
6	7	526	227005.5605102901	-1219	-1568
7	8	523	261059.4061473226	-2114	-2332
8	9	585	285599.2278613427	-3226	-2572
9	10	660	393412.0391187167	-2299	-2139
10	11	604	333081.9039374609	-830	-991
11	12	670	229548.6292337473	528	156
12	13	633	140354.88043732688	1089	1082
13	14	447	109520.75584679036	1104	1703
14	15	581	118693.68028805032	2418	1849
15	16	544	109069.33803185934	2027	1871
16	17	508	104834.72462332484	1167	1640
17	18	331	88114.87163799103	1299	1010
18	19	422	68284.69860310163	715	820
19	20	198	47406.0304832484	431	588
20	21	252	49382.285545031846	858	388
21	22	144	30573.89626007313	90	642
22	23	121	25899.37107792625	968	1321
23	24	159	21822.70199120877	1723	952
24	25	126	19520.073666382337	1573	540
25	26	142	17505.75473911891	-1824	281
26	27	88	17468.26213170139	200	154
27	28	80	25690.980444113226	1187	-292
28	29	76	25080.16738998952	-622	-900
29	30	66	35382.37007400818	-3135	-2199
30	31	64	45000.1455778906	-3050	-2302
31	32	35	49372.525280543625	-1017	-1054
32	33	42	54174.23011918595	1161	-202
33	34	40	62608.36066316436	665	560
34	35	125	52907.9422290012	-1239	637
35	36	88	87256.24566198775	1841	406
36	37	222	118407.51655251071	495	349
37	38	124	126936.21521588352	-2	554
38	39	112	110695.95299368232	-219	-84
39	40	99	109653.87465047496	725	76
40	41	151	161505.04247089656	89	767
41	42	177	184968.93272014675	1318	1556
42	43	209	219039.47101717035	2822	1979
43	44	251	245322.875872109	2285	2365
44	45	372	285174.89016234654	1746	2083
45	46	375	387669.4045960716	1936	1727
46	47	349	393070.0389228629	1664	1934
47	48	353	424854.8619300618	2306	2345
48	49	422	486503.7673430856	2930	2669
49	50	435	797586.5061827083	2969	2986
50	51	560	515239.3585939284	2840	3069
51	52	255	281118.999988387	2874	2769
