,Jahr,Woche,Tote
0,2020,10,2
1,2020,11,18
2,2020,12,162
3,2020,13,600
4,2020,14,1377
5,2020,15,1750
6,2020,16,1596
7,2020,17,1174
8,2020,18,795
9,2020,19,517
10,2020,20,352
11,2020,21,274
12,2020,22,150
13,2020,23,117
14,2020,24,72
15,2020,25,53
16,2020,26,58
17,2020,27,45
18,2020,28,29
19,2020,29,26
20,2020,30,32
21,2020,31,32
22,2020,32,29
23,2020,33,32
24,2020,34,41
25,2020,35,39
26,2020,36,20
27,2020,37,33
28,2020,38,54
29,2020,39,68
30,2020,40,83
31,2020,41,123
32,2020,42,242
33,2020,43,412
34,2020,44,798
35,2020,45,1269
36,2020,46,1675
37,2020,47,2146
38,2020,48,2947
39,2020,49,3480
40,2020,50,4381
41,2020,51,5314
42,2020,52,5925
43,2020,53,5895
