,Jahr,AG,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
0,2023,15-29,323,310,327,323,330,333,336,336,321,313,333,350
1,2022,15-29,343,292,355,300,347,313,375,348,371,346,331,391
2,2021,15-29,290,278,296,327,324,385,357,313,344,358,321,341
3,2020,15-29,329,330,320,288,311,329,335,357,305,320,309,311
4,2019,15-29,333,327,332,305,337,335,370,363,303,319,327,318
5,2018,15-29,386,329,377,357,355,345,370,371,329,336,323,324
6,2017,15-29,397,346,342,333,358,354,332,344,351,320,325,353
7,2016,15-29,359,339,359,324,390,350,399,370,380,384,370,348
8,2015,15-29,353,361,427,369,390,384,424,413,353,395,373,347
9,2014,15-29,348,312,376,371,366,374,392,351,361,338,355,367
10,2013,15-29,361,380,398,399,378,347,413,382,368,399,312,337
