,Jahr,Woche,Tote
44,2021,1,5605
45,2021,2,5093
46,2021,3,4838
47,2021,4,4136
48,2021,5,3372
49,2021,6,2710
50,2021,7,2049
51,2021,8,1725
52,2021,9,1366
53,2021,10,1242
54,2021,11,1128
55,2021,12,1195
56,2021,13,1386
57,2021,14,1525
58,2021,15,1530
59,2021,16,1597
60,2021,17,1596
61,2021,18,1436
62,2021,19,1151
63,2021,20,937
64,2021,21,694
65,2021,22,472
66,2021,23,291
67,2021,24,232
68,2021,25,139
69,2021,26,99
70,2021,27,64
71,2021,28,59
72,2021,29,71
73,2021,30,41
74,2021,31,59
75,2021,32,78
76,2021,33,128
77,2021,34,163
78,2021,35,272
79,2021,36,334
80,2021,37,430
81,2021,38,411
82,2021,39,388
83,2021,40,402
84,2021,41,467
85,2021,42,605
86,2021,43,871
87,2021,44,1204
88,2021,45,1590
89,2021,46,2014
90,2021,47,2494
91,2021,48,2827
92,2021,49,2672
93,2021,50,2487
94,2021,51,2048
95,2021,52,1575
