Year,Week,Total
2013,1,18243
2013,2,17933
2013,3,18251
2013,4,18861
2013,5,19980
2013,6,20026
2013,7,20373
2013,8,20776
2013,9,21250
2013,10,21172
2013,11,20197
2013,12,19789
2013,13,19320
2013,14,19293
2013,15,19390
2013,16,18064
2013,17,17101
2013,18,16408
2013,19,16370
2013,20,16083
2013,21,15601
2013,22,16351
2013,23,16198
2013,24,15888
2013,25,17153
2013,26,14870
2013,27,15614
2013,28,15238
2013,29,15856
2013,30,16853
2013,31,16077
2013,32,15263
2013,33,15226
2013,34,15182
2013,35,15176
2013,36,15631
2013,37,14680
2013,38,15312
2013,39,15719
2013,40,15894
2013,41,15939
2013,42,16238
2013,43,16754
2013,44,15950
2013,45,16227
2013,46,16185
2013,47,16720
2013,48,16527
2013,49,17198
2013,50,17036
2013,51,17306
2013,52,17080
2014,1,16785
2014,2,17210
2014,3,16814
2014,4,16825
2014,5,17366
2014,6,17534
2014,7,17422
2014,8,17211
2014,9,17345
2014,10,17449
2014,11,17491
2014,12,17579
2014,13,17418
2014,14,17541
2014,15,16746
2014,16,16540
2014,17,16550
2014,18,15803
2014,19,16074
2014,20,15763
2014,21,16453
2014,22,15211
2014,23,16215
2014,24,16176
2014,25,15268
2014,26,15583
2014,27,16029
2014,28,15845
2014,29,16631
2014,30,16370
2014,31,15793
2014,32,15435
2014,33,15011
2014,34,15526
2014,35,15938
2014,36,16260
2014,37,15840
2014,38,16075
2014,39,15692
2014,40,16115
2014,41,16412
2014,42,16424
2014,43,16415
2014,44,16750
2014,45,17013
2014,46,17288
2014,47,17062
2014,48,17499
2014,49,17964
2014,50,18635
2014,51,18378
2014,52,18139
2015,1,18713
2015,2,19283
2015,3,19500
2015,4,19346
2015,5,20716
2015,6,20905
2015,7,22395
2015,8,23264
2015,9,23598
2015,10,22002
2015,11,20770
2015,12,20009
2015,13,19106
2015,14,18668
2015,15,18089
2015,16,18116
2015,17,17668
2015,18,17114
2015,19,17072
2015,20,16732
2015,21,16330
2015,22,16200
2015,23,16777
2015,24,16272
2015,25,15619
2015,26,16152
2015,27,19252
2015,28,17361
2015,29,16447
2015,30,16272
2015,31,15432
2015,32,16651
2015,33,16881
2015,34,15233
2015,35,16117
2015,36,15654
2015,37,15952
2015,38,16034
2015,39,15667
2015,40,16429
2015,41,16776
2015,42,16848
2015,43,17341
2015,44,16795
2015,45,17024
2015,46,16618
2015,47,16849
2015,48,16802
2015,49,17009
2015,50,17054
2015,51,17408
2015,52,17176
2015,53,17210
2016,1,18467
2016,2,18439
2016,3,18627
2016,4,18707
2016,5,18493
2016,6,18541
2016,7,18483
2016,8,18475
2016,9,18926
2016,10,18888
2016,11,18971
2016,12,18826
2016,13,18617
2016,14,18244
2016,15,17712
2016,16,16775
2016,17,17053
2016,18,16901
2016,19,17629
2016,20,16601
2016,21,16286
2016,22,16346
2016,23,15799
2016,24,15717
2016,25,16910
2016,26,15699
2016,27,16229
2016,28,16172
2016,29,16985
2016,30,16157
2016,31,15439
2016,32,15487
2016,33,16258
2016,34,17147
2016,35,16101
2016,36,16116
2016,37,16372
2016,38,15606
2016,39,16336
2016,40,16352
2016,41,17427
2016,42,17599
2016,43,17586
2016,44,17580
2016,45,17782
2016,46,18591
2016,47,17911
2016,48,18146
2016,49,18793
2016,50,18885
2016,51,19376
2016,52,19744
2017,1,20918
2017,2,22070
2017,3,21236
2017,4,22083
2017,5,23640
2017,6,22744
2017,7,22683
2017,8,22266
2017,9,20930
2017,10,19102
2017,11,18665
2017,12,17640
2017,13,17731
2017,14,17028
2017,15,16901
2017,16,16637
2017,17,17634
2017,18,17129
2017,19,17343
2017,20,17079
2017,21,16451
2017,22,16902
2017,23,15846
2017,24,16087
2017,25,16819
2017,26,16076
2017,27,16424
2017,28,15603
2017,29,16589
2017,30,16058
2017,31,16494
2017,32,15784
2017,33,16148
2017,34,15880
2017,35,16064
2017,36,15706
2017,37,16146
2017,38,16505
2017,39,16747
2017,40,16664
2017,41,17470
2017,42,17139
2017,43,17059
2017,44,16762
2017,45,17371
2017,46,17594
2017,47,17676
2017,48,17877
2017,49,18295
2017,50,18504
2017,51,18500
2017,52,18652
2018,1,19342
2018,2,18770
2018,3,19187
2018,4,19171
2018,5,19558
2018,6,20086
2018,7,21254
2018,8,22888
2018,9,25535
2018,10,26777
2018,11,24385
2018,12,22777
2018,13,20906
2018,14,20038
2018,15,19165
2018,16,17992
2018,17,17093
2018,18,16789
2018,19,17226
2018,20,16488
2018,21,16513
2018,22,17039
2018,23,16714
2018,24,15582
2018,25,15843
2018,26,16569
2018,27,16622
2018,28,16070
2018,29,16702
2018,30,18340
2018,31,20371
2018,32,18478
2018,33,16890
2018,34,16612
2018,35,16000
2018,36,16390
2018,37,16292
2018,38,16651
2018,39,15969
2018,40,16622
2018,41,16993
2018,42,16552
2018,43,16608
2018,44,16895
2018,45,17604
2018,46,16842
2018,47,17785
2018,48,18091
2018,49,18342
2018,50,17943
2018,51,18990
2018,52,17954
2019,1,18686
2019,2,19170
2019,3,19163
2019,4,19505
2019,5,19812
2019,6,19981
2019,7,20150
2019,8,20349
2019,9,20790
2019,10,20453
2019,11,19795
2019,12,19016
2019,13,18562
2019,14,18671
2019,15,17852
2019,16,18089
2019,17,17894
2019,18,17090
2019,19,17118
2019,20,17315
2019,21,17080
2019,22,16921
2019,23,17491
2019,24,16484
2019,25,16639
2019,26,17918
2019,27,16552
2019,28,16319
2019,29,16856
2019,30,19630
2019,31,17034
2019,32,16540
2019,33,15934
2019,34,16263
2019,35,17637
2019,36,15988
2019,37,16303
2019,38,16500
2019,39,17402
2019,40,16899
2019,41,17666
2019,42,17713
2019,43,17327
2019,44,17488
2019,45,17859
2019,46,18242
2019,47,18535
2019,48,18581
2019,49,19143
2019,50,19101
2019,51,19062
2019,52,18204
2020,1,18883
2020,2,19408
2020,3,18953
2020,4,18827
2020,5,19774
2020,6,19038
2020,7,19648
2020,8,18953
2020,9,19505
2020,10,19667
2020,11,19849
2020,12,19722
2020,13,19678
2020,14,20662
2020,15,20502
2020,16,19261
2020,17,18557
2020,18,17920
2020,19,17651
2020,20,17001
2020,21,17163
2020,22,16776
2020,23,17262
2020,24,16601
2020,25,16401
2020,26,17293
2020,27,16457
2020,28,16142
2020,29,16537
2020,30,16887
2020,31,17433
2020,32,17470
2020,33,19720
2020,34,17559
2020,35,16656
2020,36,16789
2020,37,17155
2020,38,17555
2020,39,17446
2020,40,17614
2020,41,17501
2020,42,17754
2020,43,18588
2020,44,18584
2020,45,19007
2020,46,19727
2020,47,20182
2020,48,21304
2020,49,22604
2020,50,24003
2020,51,24724
2020,52,25554
2020,53,25541
2021,1,24919
2021,2,24532
2021,3,24129
2021,4,22674
2021,5,21773
2021,6,20946
2021,7,20493
2021,8,18979
2021,9,18455
2021,10,18606
2021,11,18374
2021,12,18437
2021,13,18520
2021,14,18873
2021,15,19098
2021,16,19282
2021,17,19555
2021,18,19329
2021,19,18579
2021,20,17811
2021,21,17193
2021,22,18191
2021,23,17442
2021,24,19076
2021,25,17191
2021,26,17013
2021,27,16994
2021,28,17662
2021,29,17613
2021,30,17211
2021,31,17021
2021,32,17560
2021,33,17501
2021,34,17151
2021,35,17341
2021,36,18879
2021,37,18057
2021,38,18157
2021,39,18129
2021,40,18209
2021,41,18949
2021,42,19761
2021,43,20387
2021,44,20426
2021,45,21071
2021,46,22344
2021,47,23273
2021,48,24185
2021,49,24032
2021,50,23009
2021,51,22479
2021,52,22174
2022,1,20870
2022,2,19921
2022,3,19845
2022,4,20224
2022,5,20698
2022,6,20495
2022,7,21165
2022,8,20375
2022,9,20811
2022,10,21251
2022,11,21357
2022,12,21236
2022,13,20883
2022,14,20953
2022,15,20253
2022,16,19579
2022,17,19361
2022,18,19225
2022,19,19265
2022,20,18565
2022,21,17232
2022,22,18104
2022,23,17960
2022,24,18497
2022,25,19059
2022,26,18562
2022,27,18155
2022,28,19019
2022,29,20987
2022,30,20297
2022,31,19972
2022,32,19832
2022,33,19932
2022,34,18992
2022,35,18294
2022,36,18777
2022,37,18276
2022,38,19121
2022,39,20402
2022,40,20627
2022,41,21790
2022,42,21819
2022,43,21449
2022,44,19933
2022,45,20188
2022,46,20825
2022,47,21451
2022,48,22273
2022,49,24125
2022,50,25977
2022,51,28682
2022,52,27291
2023,1,25464
2023,2,22713
2023,3,21253
2023,4,20657
2023,5,21083
2023,6,20547
2023,7,20996
2023,8,20901
2023,9,21053
2023,10,21935
2023,11,21828
2023,12,21332
2023,13,20730
2023,14,19974
2023,15,20157
2023,16,19861
2023,17,19310
2023,18,19055
2023,19,18896
2023,20,18385
2023,21,18416
2023,22,18032
2023,23,18389
2023,24,17857
2023,25,18097
2023,26,17059
2023,27,17168
2023,28,17758
2023,29,16779
2023,30,16976
2023,31,16885
2023,32,17479
2023,33,18498
2023,34,18159
2023,35,16772
2023,36,18151
2023,37,17928
2023,38,17392
2023,39,17670
2023,40,18216
2023,41,18803
2023,42,19492
2023,43,20291
2023,44,20392
2023,45,20621
2023,46,20837
2023,47,21099
2023,48,22058
2023,49,23006
2023,50,22700
2023,51,23168
2023,52,22130
