,index,viruslast,year,week
0,31,183096.913579729,2023,1
1,32,101788.83611423476,2023,2
2,33,88823.69167008997,2023,3
3,34,114892.8813683209,2023,4
4,35,178316.88685904033,2023,5
5,36,176570.80457733167,2023,6
6,37,227005.5605102901,2023,7
7,38,261059.4061473226,2023,8
8,39,285599.2278613427,2023,9
9,40,393412.0391187167,2023,10
10,41,333081.9039374609,2023,11
11,42,229548.6292337473,2023,12
12,43,140354.88043732688,2023,13
13,44,109520.75584679036,2023,14
14,45,118693.68028805032,2023,15
15,46,109069.33803185934,2023,16
16,47,104834.72462332484,2023,17
17,48,88114.87163799103,2023,18
18,49,68284.69860310163,2023,19
19,50,47406.0304832484,2023,20
20,51,49382.285545031846,2023,21
21,52,30573.89626007313,2023,22
22,53,25899.37107792625,2023,23
23,54,21822.70199120877,2023,24
24,55,19520.073666382337,2023,25
25,56,17505.75473911891,2023,26
26,57,17468.26213170139,2023,27
27,58,25690.980444113226,2023,28
28,59,25080.16738998952,2023,29
29,60,35382.37007400818,2023,30
30,61,45000.1455778906,2023,31
31,62,49372.525280543625,2023,32
32,63,54174.23011918595,2023,33
33,64,62608.36066316436,2023,34
34,65,52907.9422290012,2023,35
35,66,87256.24566198775,2023,36
36,67,118407.51655251071,2023,37
37,68,126936.21521588352,2023,38
38,69,110695.95299368232,2023,39
39,70,109653.87465047496,2023,40
40,71,161505.04247089656,2023,41
41,72,184968.93272014675,2023,42
42,73,219039.47101717035,2023,43
43,74,245322.875872109,2023,44
44,75,285174.89016234654,2023,45
45,76,387669.4045960716,2023,46
46,77,393070.0389228629,2023,47
47,78,424854.8619300618,2023,48
48,79,486503.7673430856,2023,49
49,80,797586.5061827083,2023,50
50,81,515239.3585939284,2023,51
51,82,281118.999988387,2023,52
