Tabelle: 12613-0002
Gestorbene: Deutschland, Jahre, Geschlecht;;;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;männlich;weiblich;Insgesamt
2010;409022;449746;858768
2011;407628;444700;852328
2012;416423;453159;869582
2013;429645;464180;893825
2014;422225;446131;868356
2015;449512;475688;925200
2016;448304;462595;910902
2017;457756;474507;932272
2018;470032;484842;954874
2019;465885;473635;939520
2020;492797;492775;985572
2021;515559;508128;1023687
2022;532333;534008;1066341
2023;514230;513976;1028206
__________
"Ohne Totgeborene, nachträglich beurkundete Kriegssterbefälle
und gerichtliche Todeserklärungen.

2016 - 2017:
Gesamtzahl der Sterbefälle einschließlich Fälle mit
unbestimmtem Geschlecht."
© Statistisches Bundesamt (Destatis), 2026
Stand: 02.04.2026 / 15:36:58
