Tabelle: 12613-0003
Gestorbene: Deutschland, Jahre, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Sterbefälle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;unter 1 Jahr;1-Jährige;2-Jährige;3-Jährige;4-Jährige;5-Jährige;6-Jährige;7-Jährige;8-Jährige;9-Jährige;10-Jährige;11-Jährige;12-Jährige;13-Jährige;14-Jährige;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25-Jährige;26-Jährige;27-Jährige;28-Jährige;29-Jährige;30-Jährige;31-Jährige;32-Jährige;33-Jährige;34-Jährige;35-Jährige;36-Jährige;37-Jährige;38-Jährige;39-Jährige;40-Jährige;41-Jährige;42-Jährige;43-Jährige;44-Jährige;45-Jährige;46-Jährige;47-Jährige;48-Jährige;49-Jährige;50-Jährige;51-Jährige;52-Jährige;53-Jährige;54-Jährige;55-Jährige;56-Jährige;57-Jährige;58-Jährige;59-Jährige;60-Jährige;61-Jährige;62-Jährige;63-Jährige;64-Jährige;65-Jährige;66-Jährige;67-Jährige;68-Jährige;69-Jährige;70-Jährige;71-Jährige;72-Jährige;73-Jährige;74-Jährige;75-Jährige;76-Jährige;77-Jährige;78-Jährige;79-Jährige;80-Jährige;81-Jährige;82-Jährige;83-Jährige;84-Jährige;85-Jährige;86-Jährige;87-Jährige;88-Jährige;89-Jährige;90-Jährige;91-Jährige;92-Jährige;93-Jährige;94-Jährige;95-Jährige;96-Jährige;97-Jährige;98-Jährige;99-Jährige;100 Jahre und mehr;Alter unbekannt;Insgesamt
männlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;1268;106;58;47;34;42;27;34;29;45;23;23;31;38;40;66;101;115;180;191;190;201;209;239;239;271;282;240;284;285;334;326;340;350;390;411;395;405;466;558;586;707;840;1020;1181;1420;1668;1809;2099;2407;2540;2937;3170;3454;3725;3888;4071;4445;4784;4937;5352;5647;5943;6379;6526;6360;6574;5653;7121;8589;8913;10724;12448;13995;14098;14015;14611;14988;15721;13937;13204;14122;15436;16046;15894;14933;13375;12361;10731;9089;8274;7788;6462;5041;2188;1553;1180;997;1021;689;1066;-;429645
2014;1266;80;37;58;39;26;37;32;23;36;25;37;38;38;50;58;107;123;154;188;188;206;179;256;257;276;252;278;277;267;285;351;350;367;394;424;427;403;519;480;538;622;808;976;1062;1335;1457;1746;2006;2265;2584;2776;3079;3407;3648;3775;4037;4363;4650;4912;5137;5652;6091;6248;6777;6812;6656;6716;5578;7005;8924;9242;10877;12826;14198;14450;14482;14524;15084;15788;13810;13201;13962;14966;15309;15142;14052;12410;11087;9471;7765;7210;6523;5262;3940;1802;1176;845;710;575;1006;-;422225
2015;1297;108;65;44;42;30;35;27;28;24;29;31;29;31;44;67;104;124;168;181;209;227;215;213;250;261;270;304;288;340;318;377;389;392;415;468;445;490;469;523;603;665;737;909;1029;1288;1449;1715;1939;2248;2548;2764;3197;3456;3724;4054;4282;4500;4855;5243;5468;5697;6144;6662;7014;7405;7384;7317;7430;6332;8068;9788;10054;12060;13967;15792;15933;15627;15982;16441;17274;15198;14340;14925;15767;16156;15763;14172;12582;10876;9277;7644;6554;5666;4514;3280;1403;808;614;476;1082;-;449512
2016;1494;114;68;37;44;46;41;33;38;28;31;32;22;42;50;59;114;131;182;185;208;179;242;209;243;242;260;288;273;304;300;347;359;357;446;466;456;483;529;551;637;619;711;772;1037;1164;1353;1588;1865;2172;2417;2722;3048;3376;3744;4013;4319;4551;4969;5176;5452;5676;6093;6479;7038;7468;7767;7967;7479;7898;6631;8292;10119;10438;12365;14471;16112;16447;16416;16516;16755;17464;15348;14209;14610;15252;15269;14874;13398;11448;9735;8017;6363;5226;4557;3377;2527;1076;579;403;907;-;448304
2017;1418;109;58;37;31;33;28;25;28;24;23;28;22;32;53;57;92;112;154;194;205;187;190;190;235;218;245;235;279;301;322;350;340;417;402;417;476;541;535;525;566;608;643;732;878;1071;1291;1438;1743;1932;2252;2580;2905;3296;3715;3927;4329;4534;4886;5126;5396;5924;6160;6425;6839;7373;7698;8197;8441;8126;8199;7016;8695;10888;10950;13217;15350;17171;17280;17078;17450;17771;18153;15683;14564;15114;15311;15056;14426;12767;10886;9008;7460;5442;4488;3564;2721;1855;729;419;846;-;457756
2018;1399;107;57;51;45;33;32;38;30;38;35;27;34;36;55;75;101;111;178;174;199;210;216;197;232;222;242;256;278;283;318;310;319;394;383;402;432;500;559;584;611;698;709;736;833;966;1173;1376;1580;1934;2257;2539;2893;3321;3662;4095;4356;4873;5037;5355;5719;5992;6440;6729;7098;7393;8005;8382;8760;8848;8592;8913;7463;9220;11567;11779;14097;16043;18119;18475;18152;18418;18612;18563;16280;14651;14923;14949;14726;13728;11749;9569;8147;6245;4584;3655;2758;1986;1295;465;747;-;470032
2019;1387;110;65;53;45;43;40;33;25;29;28;28;37;35;44;60;80;109;180;179;192;185;201;193;219;224;214;238;278;273;285;358;369;376;365;395;496;522;497;581;599;749;666;765;790;897;1015;1334;1540;1768;2008;2352;2736;3086;3489;3881;4265;4651;4802;5418;5547;5860;6345;6801;7099;7341;7909;8328;8788;9164;9313;9005;9102;7660;9690;11843;12189;14542;16729;18721;18674;18479;18379;18531;18705;15878;14391;13970;14322;13436;12244;10224;8315;6559;4940;3381;2699;2021;1340;831;708;-;465885
2020;1283;78;41;40;46;30;31;39;31;24;22;24;30;35;43;46;90;105;134;188;186;187;195;226;224;215;219;221;210;288;312;319;345;387;390;418;494;586;566;640;681;726;708;811;871;880;971;1104;1475;1749;1995;2350;2650;3088;3463;4009;4488;4692;5195;5512;5871;6343;6596;7029;7336;7811;8025;8466;9213;9638;9859;10163;9693;9972;8277;10561;13008;13333;15728;18043;20769;20560;19853;19946;19792;20031;16717;14894;14448;14341;13238;11618;9622;7439;5781;4117;2797;1983;1439;995;1046;-;492797
2021;1313;89;45;46;43;44;28;28;21;29;25;23;28;41;49;70;88;109;158;189;178;198;193;192;217;201;247;239;271;254;328;337;324;343;430;451;481;568;620;643;689;726;773;894;940;986;1084;1213;1355;1797;2067;2401;2782;3060;3467;4089;4559;5009;5491;5955;6429;6883;7223;7407;7985;8333;8871;9089;9430;10169;10687;11062;11083;10699;10986;9048;11285;14210;14467;16955;19677;21971;21804;21334;20929;20506;20065;16799;14425;13870;13189;11681;10445;8197;6175;4544;3207;2151;1492;1009;1270;-;515559
