CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DEUTNP,2000,1,m,56.8226170148683,2283.17738298513,2189,2034,1679,8242,0.000453041322065237,0.00425185033719566,0.033346537488269,0.0797005453405275,0.244315672313941,0.0108383764263855,1,0,0
DEUTNP,2000,1,f,39.4036760154717,1158.59632398453,1341,2946,4539,10024,0.000330626879752544,0.00220915791465872,0.0165917327810687,0.053289254278854,0.194186434935685,0.0124814585708061,1,0,0
DEUTNP,2000,1,b,96.22629303034,3441.77370696966,3530,4980,6218,18266,0.000393397069059439,0.00324256362261928,0.0241009292718386,0.0616308269831546,0.205576139397309,0.0116823351416822,1,0,0
DEUTNP,2000,2,m,56.8226170148683,2341.17738298513,2230,2089,1705,8422,0.000453041322065237,0.00435986091990165,0.0339711185924348,0.0818556731643864,0.24809900017586,0.011075079624244,1,0,0
DEUTNP,2000,2,f,39.4036760154717,1161.59632398453,1427,2919,4491,10038,0.000330626879752544,0.00221487817598424,0.0176557812666555,0.0528008598913696,0.192132910177608,0.012498890775514,1,0,0
DEUTNP,2000,2,b,96.22629303034,3502.77370696966,3657,5008,6196,18460,0.000393397069059439,0.0033000329386813,0.0249680165289274,0.061977345689084,0.204848787344118,0.0118064111855608,1,0,0
DEUTNP,2000,3,m,57.8495317801972,2292.1504682198,2337,2272,1801,8760,0.0004612288158375,0.00426856047796924,0.035601122937453,0.0890263711964987,0.262068210742947,0.0115195556291115,1,0,0
DEUTNP,2000,3,f,40.9388841719186,1207.06111582808,1403,3102,4623,10376,0.000343508446496149,0.00230156833946938,0.0173588375032359,0.0561110885176528,0.197780103262321,0.0129197540034601,1,0,0
DEUTNP,2000,3,b,98.7884159521158,3499.21158404788,3740,5374,6424,19136,0.000403871666139458,0.00329667699166419,0.0255346956024579,0.0665068402023038,0.212386799531733,0.0122387586374264,1,0,0
DEUTNP,2000,4,m,56.1380071713157,2544.86199282868,2387,2263,1801,9052,0.000447582992883728,0.00473917287502998,0.036362807210826,0.0886737139162309,0.262068210742947,0.0119035408167486,1,0,0
DEUTNP,2000,4,f,42.9858283805145,1142.01417161949,1505,3158,4815,10663,0.000360683868820957,0.00217753983303619,0.0186208484977691,0.0571240546546575,0.20599420229463,0.0132771141999706,1,0,0
DEUTNP,2000,4,b,99.1238355518302,3686.87616444817,3892,5421,6616,19715,0.000405242945062061,0.00347347953403583,0.0265724693274776,0.0670884966015424,0.218734599268671,0.0126090680673527,1,0,0
DEUTNP,2000,5,m,63.6687154503946,2469.33128454961,2306,2415,1902,9156,0.000507624613880326,0.0045985157058331,0.0351288786879617,0.0946297035385319,0.276764984360403,0.0120403026644001,1,0,0
DEUTNP,2000,5,f,49.1266610063023,1238.8733389937,1493,3343,5110,11234,0.000412210135795379,0.00236222641608705,0.0184723766160593,0.0604704606429766,0.218614823203647,0.0139880991205543,1,0,0
DEUTNP,2000,5,b,112.795376456697,3708.20462354331,3799,5758,7012,20390,0.000461135611734828,0.00349357350054164,0.0259375156667748,0.0712590967407639,0.231826936226107,0.0130407759519818,1,0,0
DEUTNP,2000,6,m,61.957190841513,2358.04280915849,2308,2198,1812,8738,0.000493978790926554,0.00439126858384249,0.0351593460588967,0.0861267446698522,0.263668849453759,0.0114906252382622,1,0,0
DEUTNP,2000,6,f,47.0797167977064,1118.92028320229,1459,3040,4826,10491,0.000395034713470571,0.00213350547411329,0.0180517062845483,0.0549895902945405,0.206464801718356,0.0130629471135602,1,0,0
DEUTNP,2000,6,b,109.036907639219,3476.96309236078,3767,5238,6638,19229,0.000445770054459533,0.00327571624411224,0.0257190369878233,0.0648237493449325,0.219461951321862,0.0122982383904197,1,0,0
DEUTNP,2000,7,m,58.1918367019735,2295.80816329803,2153,2094,1629,8230,0.000463957980428255,0.00427537202584441,0.0327981248114404,0.0820515938756463,0.23704004181025,0.010822596213195,1,0,0
DEUTNP,2000,7,f,41.4506202240676,1148.54937977593,1402,2924,4400,9916,0.000347802302077351,0.00219000086586003,0.0173464648464268,0.0528913032964593,0.18823976949042,0.01234698156306,1,0,0
DEUTNP,2000,7,b,99.6424569260411,3444.35754307396,3555,5018,6029,18146,0.000407363198499464,0.00324499790612306,0.0242716157397695,0.0621011023697731,0.19932752403126,0.0116055870733037,1,0,0
DEUTNP,2000,8,m,55.1110924059867,2201.88890759401,2109,2071,1581,8018,0.000439395499111465,0.00410047075798401,0.0321278426508722,0.0811503586038507,0.230055436526707,0.0105438124468283,1,0,0
DEUTNP,2000,8,f,46.5679807455574,1079.43201925444,1308,2762,4218,9414,0.00039074085788937,0.00205821107775571,0.0161834351063668,0.0499609369715529,0.180453488116043,0.0117219125085364,1,0,0
DEUTNP,2000,8,b,101.679073151544,3281.32092684845,3417,4833,5799,17432,0.000415689393229413,0.00309139785976986,0.0233294264367911,0.0598116037770254,0.191723388929719,0.0111489360664515,1,0,0
DEUTNP,2000,9,m,53.0572628753288,2245.94273712467,2169,1926,1458,7852,0.000423020511566938,0.00418251006484671,0.0330418637789198,0.0754686579773136,0.212157385487627,0.0103255194976922,1,0,0
DEUTNP,2000,9,f,44.0093004848125,1095.99069951519,1358,2729,4142,9369,0.00036927157998336,0.00208978440385476,0.0168020679468242,0.0493640104979608,0.177202073915754,0.0116658804219755,1,0,0
DEUTNP,2000,9,b,97.0665633601413,3341.93343663986,3527,4655,5600,17221,0.000396832303594113,0.00314850211358157,0.0240804468956869,0.05760873486076,0.185144158994038,0.0110139873795527,1,0,0
DEUTNP,2000,10,m,58.5341416237499,2251.46585837625,2042,1963,1520,7835,0.000466687145019009,0.00419279550527324,0.0311071857245524,0.0769184712406369,0.221179167312204,0.0103031641956722,1,0,0
