	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
0-4	2684	2691	2869	3156	3005	2999	2952	2780	2794	2821	2715
5-9	307	247	250	314	266	290	290	255	265	314	368
10-14	302	317	323	327	302	324	314	271	309	312	350
15-19	985	929	989	993	904	943	874	799	894	947	938
20-24	1538	1510	1535	1447	1417	1423	1350	1378	1358	1431	1364
25-29	1951	1872	2065	1932	1834	1836	1745	1667	1682	1734	1633
30-34	2591	2546	2788	2690	2713	2637	2635	2607	2670	2756	2592
35-39	3464	3417	3613	3717	3752	3833	3899	4061	4142	4304	4223
40-44	6811	6231	6083	5852	5314	5547	5435	5803	6175	6391	6357
45-49	14550	13653	13409	12792	11752	11060	10140	9704	9920	9200	9151
50-54	30388	29731	30429	29832	28924	28965	27430	26938	27331	25744	23497
55-59	33820	33296	34940	35433	35073	36452	35552	36523	38204	37008	35104
60-64	46113	45859	47758	47458	47691	49584	48966	50936	54781	55717	55165
65-69	54161	51883	56656	60803	62730	65660	65504	67524	72000	73447	72398
70-74	97568	90803	87833	78466	75588	75437	73890	78728	89031	93819	93914
75-79	129725	131004	139965	138767	139232	137300	129065	123229	115808	112962	107835
80-84	153486	144685	156003	155872	165342	176688	181439	194795	203887	209231	195086
85+	319369	313421	343908	337288	352466	360207	354055	383704	398621	434135	420949
