	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
0-4	3392242	3409492	3486411	3613546	3756446	3846778	3926397	3961376	3969138	3975333	3988681	3889739
5-9	3482309	3488560	3491478	3571914	3613927	3642216	3662238	3726970	3783568	3888141	4070777	4148247
10-14	3808352	3744380	3708834	3695666	3678195	3682765	3702180	3702913	3725094	3743461	3869519	3897911
15-19	3205035	3226387	3251516	3317722	3274343	3208333	3142375	3085157	3045183	3029274	3123117	3167205
20-24	4754681	4662031	4586328	4587878	4574031	4602514	4607272	4608431	4570491	4522527	4529727	4520374
25-29	4923879	5046426	5166826	5387681	5366756	5298080	5193335	5074471	4912939	4892729	5016416	5080573
30-34	4915126	4995969	5074081	5167860	5221075	5290252	5409029	5495720	5581088	5553604	5581298	5503195
35-39	4612016	4669105	4758616	4951744	5058038	5163210	5237416	5289210	5290876	5335194	5509047	5645893
40-44	4915126	4995969	5074081	5167860	5221075	5290252	5409029	5495720	5581088	5553604	5581298	5503195
45-49	4612016	4669105	4758616	4951744	5058038	5163210	5237416	5289210	5290876	5335194	5509047	5645893
50-54	6505934	6708858	6856652	6954765	6984307	6968045	6875948	6710235	6487224	6225112	5947195	5593251
55-59	5563619	5688892	5853132	6038640	6223126	6401516	6598218	6737305	6817318	6846797	6859133	6769392
60-64	4989604	5094950	5152977	5202056	5281280	5375053	5493914	5647771	5818137	5994044	6202205	6395411
65-69	3940115	3924395	4008894	4331884	4563301	4711694	4808497	4859032	4899104	4967930	5079606	5195414
70-74	4826272	4664320	4426214	3969193	3654937	3611909	3596545	3674095	3968070	4173292	4321028	4409948
75-79	3623049	3897735	4109305	4269898	4349557	4235423	4089384	3876420	3468028	3183622	3146440	3136571
80-84	2326832	2297709	2396702	2524412	2694971	2885212	3111597	3294281	3430502	3486211	3380166	3256129
85+	1998887	2068651	2147596	2204791	2246939	2265473	2277509	2386854	2505932	2625444	2732786	2887733
